,Year,Player,Age,Tm,Pos,MVP,Share,Win_Ratio,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
23,1981,Kelvin Ransey,22.0,POR,PG,-1,0.016,0.5487804878048781,80.0,30.4,6.6,14.5,0.452,0.0,0.4,0.097,6.5,14.1,0.462,0.453,2.1,2.7,0.749,0.5,1.9,2.4,6.9,1.1,0.1,2.9,2.5,15.2,14.9,0.484,0.027,0.188,1.9,6.9,4.4,31.4,1.7,0.2,15.6,24.3,1.3,1.6,2.8,0.056,0.1,-2.0,-1.9,0.1
24,1981,Jack Sikma,25.0,SEA,C,-1,0.016,0.4146341463414634,82.0,35.6,7.3,16.0,0.454,0.0,0.1,0.0,7.3,15.9,0.456,0.454,4.1,5.0,0.823,2.2,8.1,10.4,3.0,1.0,1.1,2.5,3.4,18.7,18.0,0.512,0.004,0.315,7.1,24.6,16.0,13.2,1.3,1.7,11.9,23.6,3.5,4.5,8.0,0.132,0.9,0.5,1.4,2.5
25,1981,Otis Birdsong,25.0,KCK,SG,-1,0.01,0.4878048780487805,71.0,36.5,10.0,18.4,0.544,0.1,0.5,0.286,9.9,17.9,0.551,0.547,4.5,6.4,0.697,1.7,2.0,3.6,3.3,1.3,0.3,2.4,2.4,24.6,20.3,0.58,0.027,0.348,5.1,5.9,5.5,14.3,1.7,0.4,10.3,26.8,6.2,2.0,8.2,0.152,3.3,-0.8,2.4,2.9
26,1981,Micheal Ray Richardson,25.0,NYK,SG,-1,0.01,0.6097560975609756,79.0,40.2,6.6,14.1,0.469,0.3,1.3,0.225,6.3,12.8,0.493,0.479,2.8,4.3,0.663,2.2,4.7,6.9,7.9,2.9,0.4,3.8,3.3,16.4,17.1,0.511,0.091,0.303,6.0,13.9,9.8,27.5,3.5,0.6,19.3,20.0,2.2,4.7,6.9,0.104,1.4,1.9,3.2,4.2
27,1981,Truck Robinson,29.0,PHO,PF,-1,0.009,0.6951219512195121,82.0,37.7,7.9,15.6,0.505,0.0,0.0,,7.9,15.6,0.505,0.505,3.0,4.8,0.629,2.6,7.0,9.6,2.5,0.8,0.5,3.0,2.7,18.8,14.9,0.531,0.0,0.309,7.9,20.1,14.1,9.6,1.0,0.7,14.7,21.5,2.4,5.3,7.6,0.119,-0.3,-0.4,-0.7,1.0
28,1981,Reggie Theus,23.0,CHI,SG,-1,0.009,0.5487804878048781,82.0,34.4,6.6,13.4,0.495,0.2,1.1,0.2,6.4,12.3,0.521,0.503,5.4,6.7,0.809,1.5,2.0,3.5,5.2,1.5,0.2,3.2,3.1,18.9,18.4,0.578,0.082,0.501,5.2,6.3,5.8,22.2,2.1,0.4,16.2,23.1,7.1,2.1,9.2,0.156,2.4,-0.6,1.8,2.7
29,1981,Norm Nixon,25.0,LAL,PG,-1,0.0069999999999999,0.6585365853658537,79.0,37.5,7.3,15.3,0.476,0.0,0.2,0.167,7.3,15.2,0.479,0.477,2.5,3.2,0.778,0.8,2.1,2.9,8.8,1.8,0.1,3.6,2.9,17.1,15.5,0.511,0.01,0.208,2.5,5.8,4.2,30.9,2.3,0.2,17.7,21.8,2.8,2.7,5.5,0.089,0.3,-1.0,-0.6,1.0
30,1981,Artis Gilmore,31.0,CHI,C,-1,0.006,0.5487804878048781,82.0,34.5,6.7,10.0,0.67,0.0,0.0,,6.7,10.0,0.67,0.67,4.6,6.5,0.705,2.7,7.4,10.1,2.1,0.6,2.4,2.9,3.6,17.9,21.7,0.699,0.0,0.652,9.2,23.5,16.7,8.9,0.8,4.0,18.4,18.5,8.4,3.9,12.3,0.208,3.1,1.2,4.3,4.5
31,1981,Bob Lanier,32.0,MIL,C,-1,0.006,0.7317073170731707,67.0,26.2,5.6,10.7,0.525,0.0,0.0,1.0,5.6,10.7,0.524,0.526,3.1,4.1,0.751,1.9,4.3,6.2,2.7,1.1,1.2,2.1,2.7,14.3,19.7,0.573,0.001,0.387,8.3,17.5,13.0,14.0,1.9,2.6,14.2,21.8,3.7,3.0,6.8,0.185,2.5,1.4,3.9,2.6
32,1981,Michael Cooper,24.0,LAL,SG,-1,0.004,0.6585365853658537,81.0,32.4,4.0,8.1,0.491,0.0,0.2,0.211,3.9,7.8,0.499,0.494,1.4,1.8,0.785,1.5,2.7,4.1,4.1,1.6,1.0,2.0,3.1,9.4,12.2,0.53,0.029,0.228,5.3,8.4,6.9,15.2,2.4,1.6,18.6,13.5,2.0,3.0,5.0,0.092,-0.6,1.5,0.9,1.9
